year,universalism,egalitarianism,progress
1977,0.055326278659612,-0.11066578483245154,0.2261243386243386
1978,0.04444444444444446,-0.038333333333333316,0.24638888888888885
1979,0.019430014430014422,-0.14316017316017318,0.1683790283790284
1980,0.10761022927689594,0.04372134038800709,0.17501763668430334
1981,0.08225274725274725,0.015573260073260098,0.18678663003663
1982,0.03238255571588903,-0.11732804232804231,0.16234006734006734
1983,-0.03161507936507936,-0.1318333333333333,0.22959523809523805
1984,0.14108333333333328,0.01007142857142855,0.28263095238095237
1985,0.22705467372134042,0.1854673721340388,0.376005291005291
1986,0.11809126984126983,-0.017869047619047625,0.2105198412698413
1987,-0.12523809523809523,-0.22571428571428567,-0.012261904761904752
1988,0.01328483245149912,-0.016261022927689602,0.23776014109347443
1989,0.10029040404040404,0.011232323232323215,0.2875934343434343
1990,-0.01311507936507938,-0.15688492063492068,0.21121031746031743
1991,0.0757716049382716,-0.04064814814814817,0.20070987654320988
1992,0.008669913419913453,-0.06229220779220781,0.1945909090909091
1993,0.008858284054362488,-0.1277440605871979,0.15554725593941277
1994,0.021349206349206337,-0.1676984126984127,0.20076719576719576
1995,0.11480078563411895,-0.02819063652396986,0.25512866762866765
1996,0.04565079365079364,-0.09008730158730159,0.21087301587301588
1997,0.1595238095238095,-0.017195767195767202,0.26005291005291004
1998,0.17068376068376068,0.07357753357753355,0.32544871794871794
1999,0.26008910533910534,0.1683712121212121,0.3364469696969697
2000,0.06471428571428572,-0.05174603174603173,0.1922857142857143
2001,0.12380952380952379,0.03276190476190473,0.24280952380952375
2002,0.26267857142857143,0.08355158730158727,0.3331746031746031
2003,0.09580952380952382,-0.08106926406926404,0.17163636363636361
2004,0.2928928571428571,0.15485714285714283,0.36338095238095236
2005,0.07021825396825396,-0.1044246031746032,0.14357142857142854
2006,0.18007575757575758,0.022838383838383835,0.30880808080808075
2007,0.3060515873015873,0.171801948051948,0.37903499278499275
2008,0.21413492063492062,0.09301587301587304,0.3908888888888889
2009,0.2511111111111111,0.17153787878787877,0.40122979797979796
2010,0.19536155202821867,0.0814065255731922,0.3191005291005291
2011,0.17777777777777773,0.0793165784832451,0.3916710758377425
2012,0.22330952380952382,0.10065079365079366,0.31934920634920627
2013,0.31305916305916304,0.20436255411255408,0.4559411976911977
2014,0.38866561216561213,0.2702705072705073,0.5045521700521701
2015,0.24513023088023092,0.09813023088023087,0.4225079365079365
2016,0.08764911014911014,0.004217973384640059,0.28101290684624014
2017,0.2275220458553792,0.09944885361552028,0.29320546737213404
2018,0.16119588744588742,0.0749440836940837,0.3735227272727273
2019,0.3237438672438672,0.2414047619047619,0.44796320346320345
2020,0.18472222222222223,0.07847222222222222,0.3042708333333333
2021,0.2568175343175343,0.1435545627212294,0.3625820167486834
2022,0.24526214526214524,0.13573512906846238,0.41054994388327726
2023,0.2843290043290043,0.24637566137566136,0.47614718614718615
