year,left-wing,centrist,right-wing
2017,0.18409225015357758,0.6141094265505671,0.201798321576789
1984,0.1712500571471746,0.633737318339895,0.19501262390222707
1978,0.1939189686458938,0.597004692165219,0.20907633903683448
2014,0.19094940342686392,0.6130575334483926,0.19599304788491942
2000,0.20851584635935463,0.5767817958182111,0.21470235900341214
1989,0.20770914449885086,0.5736678170191275,0.21862304049569206
1977,0.19381627929396927,0.5739308660849929,0.23225285345688462
2021,0.19388401173055173,0.5930931024253369,0.21302289180457593
1990,0.17353730739936224,0.6235407310121763,0.20292195411773045
2019,0.18787528464540107,0.6117483113632828,0.2003764053348635
1999,0.18334857393533754,0.6212766017669287,0.1953748237246122
2005,0.20044751855589094,0.5806384420111066,0.2189140444000562
2006,0.21399172946162845,0.5764812299090883,0.2095270430588204
1983,0.1927011252011893,0.5977303042726697,0.20956857432171982
1982,0.18074457577683709,0.5909456654028459,0.22830976464531638
2013,0.19139139638060615,0.598315159479777,0.21029344035519493
2002,0.18942370342797246,0.6093886684754799,0.2011876198752173
